CASP3	BECN1
CASP3	TNF
CASP3	MAPK8
CASP3	AKT1
CASP3	CASP7
CASP3	CTNNB1
CASP3	MAPT
CASP3	CASP8
CASP3	CASP9
CASP3	APAF1
CASP7	CYCS
CASP7	CASP3
CASP7	CASP9
CASP7	MAPT
CASP7	CASP8
CASP7	APAF1
CASP8	TNFRSF1A
CASP8	TRAF2
CASP8	IL1B
CASP8	FADD
CASP8	CYCS
CASP8	CASP3
CASP8	BID
CASP8	CASP9
CASP8	BECN1
CASP8	CHUK
CASP8	APAF1
CASP8	CASP7
CASP8	TNF
CASP8	FAS
CASP9	CYCS
CASP9	CASP3
CASP9	BECN1
CASP9	AKT3
CASP9	AKT2
CASP9	CASP8
CASP9	CASP7
CASP9	AKT1
CASP9	APAF1
CDK5	CDK5R1
CDK5	MAPT
CDK5R1	CAPN2
CDK5R1	CAPN1
CDK5R1	MAPT
CDK5R1	CDK5
CHRM1	CHRM3
CHRM1	GNAQ
CHRM1	GRM5
CHRM1	CHRM5
CHRM3	CHRM1
CHRM3	GRM5
CHRM3	CHRM5
CHRM3	GNAQ
CHRM5	CHRM3
CHRM5	GNAQ
CHRM5	GRM5
CHRM5	CHRM1
CHUK	TNFRSF1A
CHUK	NFKB1
CHUK	EIF2AK2
CHUK	GPR83
CHUK	TRAF2
CHUK	IRS1
CHUK	EIF2AK3
CHUK	CASP8
CHUK	MTOR
CHUK	IRS4
CHUK	AKT3
CHUK	AKT2
CHUK	IRS2
CHUK	AKT1
CHUK	RELA
CHUK	TNF
CHUK	IKBKB
COX4I1	NDUFB4
COX4I1	UQCRC1
COX4I1	ATP5F1D
COX4I1	NDUFB7
COX4I1	COX6A1
COX4I1	NDUFS7
COX4I1	NDUFA2
COX4I1	NDUFA10
COX4I1	COX5B
COX4I1	NDUFB5
COX4I1	ATP5F1B
COX4I1	NDUFS3
COX4I1	NDUFA9
COX4I1	UQCRC2
COX4I1	NDUFB10
COX4I1	NDUFS6
COX4I1	NDUFB9
COX4I1	NDUFC2
COX4I1	COX6A2
COX4I1	COX7A1
COX4I1	NDUFS4
COX4I1	NDUFB8
COX4I1	NDUFA7
COX4I1	ATP5PD
COX4I1	UQCRFS1
COX4I1	CYCS
COX4I1	UQCRH
COX4I1	NDUFS8
COX4I1	CYC1
COX4I1	COX5A
COX4I1	COX8A
COX4I1	NDUFV2
COX4I1	NDUFA12
COX4I1	UQCR10
COX4I1	NDUFA4
COX4I1	NDUFV3
COX4I1	ATP5F1C
COX4I1	MT-CO1
COX4I1	MT-CYB
COX4I1	MT-ND6
COX4I1	MT-ND1
COX4I1	MT-ND5
COX4I1	MT-CO2
COX4I1	MT-ND4
COX4I1	MT-CO3
COX4I1	MT-ND2
COX4I1	NDUFS2
COX4I1	ATP5PB
COX4I1	COX7A2
COX4I1	NDUFA1
COX4I1	NDUFS5
COX4I1	NDUFA8
COX4I1	SDHB
COX4I1	COX4I2
COX4I1	COX7A2L
COX4I1	UQCRQ
COX4I1	NDUFB6
COX4I1	COX7B2
COX4I1	ATP5F1A
COX4I1	NDUFA11
COX4I1	NDUFS1
COX4I1	NDUFB3
COX4I1	NDUFA5
COX4I1	NDUFA3
COX4I1	NDUFA13
COX4I1	COX7C
COX4I1	COX6C
COX4I1	UQCRB
COX4I1	COX6B2
COX4I1	NDUFB1
COX4I1	UQCRHL
COX4I1	NDUFAB1
COX4I1	NDUFA6
COX4I1	NDUFV1
COX4I1	UQCR11
COX4I1	COX7B
COX4I1	COX6B1
COX4I2	UQCRC1
COX4I2	COX6A1
COX4I2	COX5B
COX4I2	NDUFA9
COX4I2	UQCRC2
COX4I2	NDUFB10
COX4I2	COX6A2
COX4I2	COX7A1
COX4I2	UQCRFS1
COX4I2	CYCS
COX4I2	UQCRH
COX4I2	CYC1
COX4I2	COX5A
COX4I2	UQCR10
COX4I2	MT-CO1
COX4I2	MT-CO2
COX4I2	MT-CO3
COX4I2	NDUFS2
COX4I2	COX4I1
COX4I2	NDUFA13
COX4I2	COX7B
COX4I2	UQCRHL
COX4I2	COX6B2
COX4I2	UQCR11
COX4I2	COX6B1
COX4I2	COX6C
COX4I2	UQCRB
COX4I2	COX7C
COX4I2	UQCRQ
COX5A	NDUFB4
COX5A	UQCRC1
COX5A	ATP5F1D
COX5A	NDUFB7
COX5A	COX6A1
COX5A	NDUFS7
COX5A	NDUFA2
COX5A	NDUFA10
COX5A	COX5B
COX5A	NDUFB5
COX5A	ATP5F1B
COX5A	NDUFS3
COX5A	NDUFA9
COX5A	UQCRC2
COX5A	NDUFB10
COX5A	NDUFS6
COX5A	NDUFB9
COX5A	NDUFC2
COX5A	ATP5MC3
COX5A	COX6A2
COX5A	ATP5PO
COX5A	COX7A1
COX5A	NDUFS4
COX5A	NDUFB8
COX5A	NDUFA7
COX5A	ATP5PD
COX5A	UQCRFS1
COX5A	CYCS
COX5A	UQCRH
COX5A	NDUFS8
COX5A	CYC1
COX5A	MT-ND5
COX5A	MT-ND1
COX5A	UQCRHL
COX5A	NDUFA3
COX5A	NDUFB1
COX5A	NDUFC1
COX5A	SDHD
COX5A	NDUFA11
COX5A	NDUFV3
COX5A	NDUFA1
COX5A	ATP5PF
COX5A	SDHB
COX5A	NDUFB3
COX5A	NDUFS5
COX5A	NDUFS1
COX5A	COX7A2L
COX5A	ATP5PB
COX5A	ATP5F1A
COX5A	NDUFS2
COX5A	NDUFA5
COX5A	NDUFA13
COX5A	NDUFAB1
COX5A	NDUFV1
COX5A	NDUFA6
COX5A	COX6B2
COX5A	MT-CYB
COX5A	ATP5F1C
COX5A	NDUFA8
COX5A	COX7A2
COX5A	NDUFB6
COX5A	NDUFV2
COX5A	COX7B
COX5A	COX8A
COX5A	NDUFA4
COX5A	NDUFA12
COX5A	UQCR11
COX5A	COX6C
COX5A	MT-CO2
COX5A	COX4I2
COX5A	COX4I1
COX5A	COX7C
COX5A	MT-CO3
COX5A	COX6B1
COX5A	UQCR10
COX5A	UQCRQ
COX5A	MT-CO1
COX5A	UQCRB
COX5B	NDUFB4
COX5B	UQCRC1
COX5B	ATP5F1D
COX5B	NDUFB7
COX5B	COX6A1
COX5B	NDUFS7
COX5B	NDUFA2
COX5B	NDUFA10
COX5B	MT-ND3
COX5B	MT-ND4
COX5B	NDUFV3
COX5B	MT-ND1
COX5B	ATP5F1A
COX5B	SDHA
COX5B	NDUFC1
COX5B	ATP5F1C
COX5B	NDUFAB1
COX5B	SDHD
COX5B	NDUFB1
COX5B	COX7B2
COX5B	NDUFS1
COX5B	NDUFA3
COX5B	NDUFS5
COX5B	NDUFA1
COX5B	NDUFB2
COX5B	COX7A2L
COX5B	SDHB
COX5B	NDUFC2
COX5B	ATP5PO
COX5B	NDUFS4
COX5B	NDUFB6
COX5B	NDUFB3
COX5B	ATP5PD
COX5B	NDUFB10
COX5B	NDUFV1
COX5B	UQCRHL
COX5B	NDUFA7
COX5B	COX6B2
COX5B	NDUFA6
COX5B	NDUFS2
COX5B	NDUFS3
COX5B	NDUFA5
COX5B	NDUFA9
COX5B	NDUFV2
COX5B	NDUFA12
COX5B	NDUFB9
COX5B	NDUFB8
COX5B	NDUFB5
COX5B	NDUFA8
COX5B	MT-CYB
COX5B	NDUFA11
COX5B	CYCS
COX5B	COX4I2
COX5B	NDUFS6
COX5B	NDUFA13
COX5B	NDUFA4
COX5B	COX7A1
COX5B	NDUFS8
COX5B	COX7A2
COX5B	UQCRH
COX5B	COX7C
COX5B	UQCR10
COX5B	UQCR11
COX5B	COX8A
COX5B	COX6B1
COX5B	MT-CO3
COX5B	UQCRFS1
COX5B	UQCRC2
COX5B	CYC1
COX5B	COX4I1
COX5B	MT-CO2
COX5B	COX6C
COX5B	COX6A2
COX5B	UQCRB
COX5B	COX7B
COX5B	MT-CO1
COX5B	UQCRQ
COX5B	COX5A
COX6A1	UQCRC1
